Model,Accuracy,Precision,Recall
Logistic Regression,0.8239886444286728,0.6971608832807571,0.5924932975871313
Random Forest,0.8076650106458482,0.7142857142857143,0.45576407506702415
XGBoost,0.78708303761533,0.6166134185303515,0.517426273458445
